"pair_id","match_score","class","flags","kalshi_id","kalshi_title","kalshi_yes","kalshi_no","kalshi_close","poly_id","poly_title","poly_yes","poly_no","poly_close","raw_edge","human_label","human_note"
"11","1","check","source:check; deadline:check","KXFRENCHPRES-27-EZEM","Will Éric Zemmour win the 2027 French presidential election? Éric Zemmour","0.009","0.998","2028-05-30T14:00:00Z","will-ric-zemmour-win-the-2027-french-presidential-election","Will Éric Zemmour win the 2027 French presidential election? Éric Zemmour","0.011","0.99","2027-04-30T00:00:00Z","0.001","",""
"12","1","check","source:check; deadline:check","KXFRENCHPRES-27-MLEP","Will Marine Le Pen win the 2027 French presidential election? Marine Le Pen","0.41","0.63","2028-05-30T14:00:00Z","will-marine-le-pen-win-the-2027-french-presidential-election","Will Marine Le Pen win the 2027 French presidential election? Marine Le Pen","0.384","0.617","2028-01-01T04:59:00Z","-0.014","",""
"13","1","check","source:check","SENATESD-26-R","Will Republicans win the Senate race in South Dakota? Mike Rounds","0.92","0.099","2027-11-03T15:00:00Z","will-the-republicans-win-the-south-dakota-senate-race-in-2026","Will the Republicans win the South Dakota Senate race in 2026? Mike Rounds (R)","0.943","0.061","","0.019","",""
"14","1","check","source:check","SENATENH-26-R","Will Republicans win the Senate race in New Hampshire? John E. Sununu","0.15","0.87","2027-11-03T15:00:00Z","will-the-republicans-win-the-new-hampshire-senate-race-in-2026","Will the Republicans win the New Hampshire Senate race in 2026? John E. Sununu (R)","0.16","0.85","","0","",""
"15","1","check","source:check","SENATENE-26-R","Will Republicans win the Senate race in Nebraska? Pete Ricketts","0.73","0.3","2027-11-03T15:00:00Z","will-the-republicans-win-the-nebraska-senate-race-in-2026","Will the Republicans win the Nebraska Senate race in 2026? Pete Ricketts (R)","0.7","0.31","2026-11-03T00:00:00Z","0","",""
"16","1","check","source:check","SENATEMI-26-R","Will Republicans win the Senate race in Michigan? Mike Rogers","0.28","0.73","2027-11-03T15:00:00Z","will-the-republicans-win-the-michigan-senate-race-in-2026","Will the Republicans win the Michigan Senate race in 2026? Mike Rogers (R)","0.29","0.72","","0","",""
"17","1","check","source:check","SENATEME-26-R","Will Republicans win the Senate race in Maine? Susan Collins","0.37","0.64","2027-11-03T15:00:00Z","will-the-republicans-win-the-maine-senate-race-in-2026","Will the Republicans win the Maine Senate race in 2026? Susan Collins (R)","0.32","0.69","","0.04","",""
"18","1","check","source:check","SENATEKS-26-R","Will Republicans win the Senate race in Kansas? Roger Marshall","0.69","0.33","2027-11-03T15:00:00Z","will-the-republicans-win-the-kansas-senate-race-in-2026","Will the Republicans win the Kansas Senate race in 2026? Roger Marshall (R)","0.7","0.31","","0","",""
"19","1","check","source:check","SENATEIA-26-R","Will Republicans win the Senate race in Iowa? Ashley Hinson","0.57","0.44","2027-11-03T15:00:00Z","will-the-republicans-win-the-iowa-senate-race-in-2026","Will the Republicans win the Iowa Senate race in 2026? Ashley Hinson (R)","0.57","0.44","","-0.01","",""
"20","1","check","source:check","SENATEFLS-26-R","Will Republicans win the Senate race in Florida? Ashley Moody","0.9","0.11","2027-11-03T15:00:00Z","will-the-republicans-win-the-florida-senate-race-in-2026","Will the Republicans win the Florida Senate race in 2026? Ashley Moody (R)","0.92","0.09","","0.01","",""
"21","1","check","deadline:check","KXBALLONDOR-26-LYAM","Who will win the Ballon d'Or in 2026? Lamine Yamal","0.21","0.8","2026-12-31T04:59:00Z","will-lamine-yamal-win-the-2026-ballon-dor","Will Lamine Yamal win the 2026 Ballon d'Or? Lamine Yamal","0.219","0.782","2027-01-01T04:59:00Z","0.008","",""
"22","1","check","deadline:check","KXBALLONDOR-26-HKAN","Who will win the Ballon d'Or in 2026? Harry Kane","0.6","0.41","2026-12-31T04:59:00Z","will-harry-kane-win-the-2026-ballon-dor","Will Harry Kane win the 2026 Ballon d'Or? Harry Kane","0.579","0.422","2027-01-01T04:59:00Z","0.011","",""
"23","1","check","deadline:check","KXBALLONDOR-26-EHAA","Who will win the Ballon d'Or in 2026? Erling Haaland","0.02","1","2026-12-31T04:59:00Z","will-erling-haaland-win-the-2026-ballon-dor","Will Erling Haaland win the 2026 Ballon d'Or? Erling Haaland","0.003","0.998","2027-01-01T04:59:00Z","-0.003","",""
"24","1","check","edge_cases:check","KXSATOSHIBTCYEAR-27","Will Satoshi move any Bitcoin by 2027? Before 2027","0.05","0.96","2027-01-01T05:00:00Z","will-satoshi-move-any-bitcoin-in-2026","Will Satoshi move any Bitcoin in 2026?","0.033","0.968","2027-01-01T05:00:00Z","0.007","",""
"25","0.92","different?","source:check; deadline:material","KXBOND-30-HAR","Will Harris Dickinson be the next James Bond? Harris Dickinson","0.06","0.97","2030-01-01T15:00:00Z","harris-dickinson-announced-as-next-james-bond","Harris Dickinson announced as next James Bond? Harris Dickinson","0.136","0.937","2027-01-01T04:59:00Z","0.003","",""
"26","0.92","different?","source:check; deadline:material","KXPUTINDJTLOCATION-29-TUR","Where will Trump and Putin next meet? Turkey","0.2","1","2029-01-01T04:59:00Z","will-trump-and-putin-meet-next-in-turkey-213","Will Trump and Putin meet next in Turkey? Turkey","0.006","0.997","2027-01-01T04:59:00Z","-0.006","",""
"27","0.92","different?","source:check; deadline:material","KXPUTINDJTLOCATION-29-PRC","Where will Trump and Putin next meet? China","0.71","0.35","2029-01-01T04:59:00Z","will-trump-and-putin-meet-next-in-china-784","Will Trump and Putin meet next in China? China","0.66","0.36","2027-01-01T04:59:00Z","-0.01","",""
"28","0.9","check","source:check; deadline:check; edge_cases:check","KXNFLMVP-27-PNAC","Will Puka Nacua win the MVP? Puka Nacua","0.01","1","2028-02-12T15:00:00Z","will-puka-nacua-win-the-2026-nfl-mvp","Will Puka Nacua win the 2026 NFL MVP? Puka Nacua","0.003","0.998","2027-03-01T04:59:00Z","-0.003","",""
"29","0.9","check","source:check; deadline:check; edge_cases:check","KXHURPATHHAWAII-26DEC","Will a hurricane make landfall in Hawaii during the 2026 hurricane season? Before 2027","0.11","0.93","2027-01-01T04:59:00Z","will-a-hurricane-make-landfall-in-hawaii-before-2027-20260721182828397","Will a hurricane make landfall in Hawaii before 2027?","0.16","0.85","2026-12-31T16:59:00Z","0.04","",""
"30","0.83","check","source:check","SENATENH-26-D","Will Democratics win the Senate race in New Hampshire? Chris Pappas","0.87","0.14","2027-11-03T15:00:00Z","will-the-democrats-win-the-new-hampshire-senate-race-in-2026","Will the Democrats win the New Hampshire Senate race in 2026? Chris Pappas (D)","0.86","0.15","","0","",""
"31","0.83","check","source:check","SENATEMI-26-D","Will Democratics win the Senate race in Michigan? Abdul El-Sayed","0.74","0.27","2027-11-03T15:00:00Z","will-the-democrats-win-the-michigan-senate-race-in-2026","Will the Democrats win the Michigan Senate race in 2026? Abdul El-Sayed (D)","0.72","0.29","","0.01","",""
"32","0.8","check","source:check","SENATETX-26-D","Will Democratics win the Senate race in Texas? James Talarico","0.59","0.42","2027-11-03T15:00:00Z","will-the-democrats-win-the-texas-senate-race-in-2026","Will the Democrats win the Texas Senate race in 2026? James Talarico (D)","0.62","0.39","","0.02","",""
"33","0.8","check","source:check","SENATEOHS-26-D","Will Democratics win the Senate race in Ohio? Sherrod Brown","0.59","0.42","2027-11-03T15:00:00Z","will-the-democrats-win-the-ohio-senate-race-in-2026","Will the Democrats win the Ohio Senate race in 2026? Sherrod Brown (D)","0.58","0.43","","0","",""
"34","0.8","check","source:check","SENATEME-26-D","Will Democratics win the Senate race in Maine? Troy Jackson","0.65","0.36","2027-11-03T15:00:00Z","will-the-democrats-win-the-maine-senate-race-in-2026","Will the Democrats win the Maine Senate race in 2026? Troy Jackson (D)","0.69","0.32","","0.03","",""
"35","0.8","check","source:check","SENATEKS-26-D","Will Democratics win the Senate race in Kansas? Adam Hamilton","0.33","0.68","2027-11-03T15:00:00Z","will-the-democrats-win-the-kansas-senate-race-in-2026","Will the Democrats win the Kansas Senate race in 2026? Adam Hamilton (D)","0.31","0.7","","0.01","",""
"36","0.8","check","source:check","SENATEIA-26-D","Will Democratics win the Senate race in Iowa? Josh Turek","0.44","0.57","2027-11-03T15:00:00Z","will-the-democrats-win-the-iowa-senate-race-in-2026","Will the Democrats win the Iowa Senate race in 2026? Josh Turek (D)","0.45","0.56","","0","",""
"37","0.8","check","source:check","SENATEGA-26-D","Will Democratics win the Senate race in Georgia? Jon Ossoff","0.942","0.061","2027-11-03T15:00:00Z","will-the-democrats-win-the-georgia-senate-race-in-2026","Will the Democrats win the Georgia Senate race in 2026? Jon Ossoff (D)","0.95","0.06","","-0.002","",""
"38","0.79","check","source:check; deadline:check","KXBRAZILPRES1R-26OCT04","Will anyone win outright in the first round of the 2026 Brazil Presidential election? Yes","0.16","0.939","2027-10-04T14:00:00Z","will-any-presidential-candidate-win-outright-in-the-first-round-of-the-brazil-election","Will any presidential candidate win outright in the first round of the Brazil election?","0.057","0.951","2027-07-01T03:59:00Z","0.004","",""
"39","0.79","check","source:check; deadline:check","KXHOUSERACE-WYAL-26-D","Will Democratic win the House race for WY-AL? Lisa Kinney","0.034","0.997","2027-11-03T15:00:00Z","will-the-democratic-party-win-the-wy-al-house-seat","Will the Democratic Party win the WY-AL House seat? Lisa Kinney (D)","0.004","0.998","2026-11-04T04:59:00Z","-0.001","",""
"40","0.79","check","source:check; deadline:check","KXHOUSERACE-VTAL-26-D","Will Democratic win the House race for VT-AL? Becca Balint","0.997","0.079","2027-11-03T15:00:00Z","will-the-democratic-party-win-the-vt-al-house-seat","Will the Democratic Party win the VT-AL House seat? Becca Balint (D)","0.988","0.024","2026-11-04T04:59:00Z","-0.021","",""
"41","0.79","check","source:check; deadline:check","KXHOUSERACE-VTAL-26-R","Will Republican win the House race for VT-AL? Gerald Malloy","0.04","0.995","2027-11-03T15:00:00Z","will-the-republican-party-win-the-vt-al-house-seat","Will the Republican Party win the VT-AL House seat? Gerald Malloy (R)","0.026","0.994","2026-11-04T04:59:00Z","-0.021","",""
"42","0.79","check","source:check; deadline:check","KXHOUSERACE-TX29-26-D","Will Democratic win the House race for TX-29? Sylvia Garcia","0.975","0.37","2027-11-03T15:00:00Z","will-the-democratic-party-win-the-tx-29-house-seat","Will the Democratic Party win the TX-29 House seat? Sylvia Garcia (D)","0.959","0.065","2026-11-04T04:59:00Z","-0.04","",""
"43","0.79","check","source:check; deadline:check","KXHOUSERACE-TX29-26-R","Will Republican win the House race for TX-29? Martha Fierro","0.098","0.99","2027-11-03T15:00:00Z","will-the-republican-party-win-the-tx-29-house-seat","Will the Republican Party win the TX-29 House seat? Martha Fierro (R)","0.06","0.96","2026-11-04T04:59:00Z","-0.05","",""
"44","0.79","check","source:check; deadline:check","KXHOUSERACE-TN05-26-D","Will Democratic win the House race for TN-05? Chaz Molder","0.1","0.92","2027-11-03T15:00:00Z","will-the-democratic-party-win-the-tn-05-house-seat","Will the Democratic Party win the TN-05 House seat? Chaz Molder (D)","0.083","0.923","2026-11-04T04:59:00Z","-0.003","",""
"45","0.79","check","source:check; deadline:check","KXHOUSERACE-TN04-26-D","Will Democratic win the House race for TN-04? Victoria Broderick","0.17","0.998","2027-11-03T15:00:00Z","will-the-democratic-party-win-the-tn-04-house-seat","Will the Democratic Party win the TN-04 House seat? Victoria Broderick (D)","0.005","0.997","2026-11-03T00:00:00Z","-0.003","",""
"46","0.79","check","source:check; deadline:check","KXHOUSERACE-NY26-26-R","Will Republican win the House race for NY-26? Dennis Hannon","0.084","0.996","2027-11-03T15:00:00Z","will-the-republican-party-win-the-ny-26-house-seat","Will the Republican Party win the NY-26 House seat? Dennis Hannon (R)","0.051","0.983","2026-11-04T04:59:00Z","-0.047","",""
"47","0.79","check","source:check; deadline:check","KXHOUSERACE-FL22-26-D","Will Democratic win the House race for FL-22? Pia Dandiya","0.52","0.49","2027-11-03T15:00:00Z","will-the-democratic-party-win-the-fl-22-house-seat","Will the Democratic Party win the FL-22 House seat? Pia Dandiya (D)","0.54","0.47","2026-11-04T04:59:00Z","0.01","",""
"48","0.79","check","source:check; deadline:check","KXHOUSERACE-CA32-26-R","Will Republican win the House race for CA-32? Larry Thompson","0.11","0.986","2027-11-03T15:00:00Z","will-the-republican-party-win-the-ca-32-house-seat","Will the Republican Party win the CA-32 House seat? Larry Thompson (R)","0.006","0.995","2026-11-04T04:59:00Z","0.008","",""
"49","0.79","check","source:check; deadline:check","KXHOUSERACE-CA20-26-R","Will Republican win the House race for CA-20? Vince Fong","0.975","0.38","2027-11-03T15:00:00Z","will-the-republican-party-win-the-ca-20-house-seat","Will the Republican Party win the CA-20 House seat? Vince Fong (R)","0.97","0.032","2026-11-04T04:59:00Z","-0.007","",""
"50","0.79","check","source:check; deadline:check","KXHOUSERACE-AL05-26-D","Will Democratic win the House race for AL-05? Andrew Sneed","0.081","0.978","2027-11-03T15:00:00Z","will-the-democratic-party-win-the-al-05-house-seat","Will the Democratic Party win the AL-05 House seat? Andrew Sneed (D)","0.032","0.97","2026-11-04T04:59:00Z","-0.01","",""
"51","0.77","different?","source:check; deadline:material; interim_officeholder:check","KXSERBIAPM-27DEC31-AVUC","Will Aleksandar Vučić become Prime Minister of Serbia following the next Serbian general election? Aleksandar Vučić","0.8","0.87","2028-12-31T15:00:00Z","will-aleksandar-vucic-be-the-next-prime-minister-of-serbia-20260629223938643","Will Aleksandar Vučić be the next Prime Minister of Serbia? Aleksandar Vučić","0.584","0.432","2028-06-30T23:59:00Z","-0.232","",""
"52","0.76","check","source:check; deadline:check","KXPRESPERSON-28-AOCA","Who will win the next presidential election? Alexandria Ocasio-Cortez","0.092","0.909","2029-11-07T15:00:00Z","will-alexandria-ocasio-cortez-win-the-2028-us-presidential-election","Will Alexandria Ocasio-Cortez win the 2028 US Presidential Election? Alexandria Ocasio-Cortez","0.131","0.87","2029-01-21T04:59:00Z","0.038","",""
"53","0.73","check","source:check; deadline:check","KXPRESPERSON-28-GNEWS","Who will win the next presidential election? Gavin Newsom","0.094","0.909","2029-11-07T15:00:00Z","will-gavin-newsom-win-the-2028-us-presidential-election","Will Gavin Newsom win the 2028 US Presidential Election? Gavin Newsom","0.082","0.919","2028-11-07T00:00:00Z","0.009","",""
"54","0.73","check","source:check; deadline:check","KXPRESPERSON-28-PBUT","Who will win the next presidential election? Pete Buttigieg","0.029","0.972","2029-11-07T15:00:00Z","will-pete-buttigieg-win-the-2028-us-presidential-election","Will Pete Buttigieg win the 2028 US Presidential Election? Pete Buttigieg","0.028","0.973","2028-11-07T00:00:00Z","0","",""
"55","0.73","check","source:check; deadline:check","KXARGENTINAPRES-27-JMIL","Who will win the next Argentine presidential election? Javier Milei","0.61","0.72","2028-10-30T14:00:00Z","will-javier-milei-win-the-2027-argentina-presidential-election","Will Javier Milei win the 2027 Argentina presidential election? Javier Milei","0.55","0.46","2027-10-24T00:00:00Z","-0.07","",""
"56","0.67","different?","source:check; deadline:material; interim_officeholder:check","KXBCPREMIER-26OCT24-DEBY","Will David Eby become Premier of British Columbia following the 2026 British Columbia general election? David Eby","0.59","0.59","2027-10-24T14:00:00Z","will-david-eby-be-the-next-premier-of-british-columbia","Will David Eby be the next Premier of British Columbia? David Eby","0.51","0.5","2026-10-24T23:59:00Z","-0.09","",""
"57","0.67","different?","source:check; deadline:material; interim_officeholder:check","KXBCPREMIER-26OCT24-LDOE","Will Lorne Doerkson become Premier of British Columbia following the 2026 British Columbia general election? Lorne Doerkson","0.45","0.6","2027-10-24T14:00:00Z","will-lorne-doerkson-be-the-next-premier-of-british-columbia","Will Lorne Doerkson be the next Premier of British Columbia? Lorne Doerkson","0.49","0.52","2026-10-24T23:59:00Z","0.03","",""
"58","0.64","different?","source:check; deadline:material; interim_officeholder:check","KXISRAELPM-26OCT27-BNET","Will Benjamin Netanyahu become Prime Minister of Israel following the 2026 Israeli legislative election? Benjamin Netanyahu","0.27","0.74","2027-10-27T14:00:00Z","will-benjamin-netanyahu-be-the-next-prime-minister-of-israel","Will Benjamin Netanyahu be the next Prime Minister of Israel? Benjamin Netanyahu","0.3","0.71","2026-10-27T23:59:00Z","0.02","",""
"59","0.64","different?","source:check; deadline:material; interim_officeholder:check","KXISRAELPM-26OCT27-GEIZ","Will Gadi Eizenkot become Prime Minister of Israel following the 2026 Israeli legislative election? Gadi Eizenkot","0.51","0.5","2027-10-27T14:00:00Z","will-gadi-eizenkot-be-the-next-prime-minister-of-israel","Will Gadi Eizenkot be the next Prime Minister of Israel? Gadi Eizenkot","0.532","0.473","2026-10-27T23:59:00Z","0.017","",""
"60","0.64","different?","source:check; deadline:material; interim_officeholder:check","KXISRAELPM-26OCT27-MFEI","Will Moshe Feiglin become Prime Minister of Israel following the 2026 Israeli legislative election? Moshe Feiglin","0.01","1","2027-10-27T14:00:00Z","will-moshe-feiglin-be-the-next-prime-minister-of-israel","Will Moshe Feiglin be the next Prime Minister of Israel? Moshe Feiglin","0.001","0.9995","2026-10-27T23:59:00Z","-0.001","",""
"61","0.6","check","source:check; deadline:check; interim_officeholder:check","KXVENEZDEFACTO-27JAN01-DROD","Will Delcy Rodríguez de facto hold head of state of Venezuela at the end of 2026? Delcy Rodríguez","0.91","0.19","2027-01-02T04:59:00Z","will-delcy-rodrguez-be-the-leader-of-venezuela-end-of-2026","Will Delcy Rodríguez be the leader of Venezuela end of 2026? Delcy Rodríguez","0.37","0.64","2027-01-01T04:59:00Z","0.44","",""
"62","0.6","check","source:check; deadline:check; interim_officeholder:check","KXVENEZDEFACTO-27JAN01-MMAC","Will María Corina Machado de facto hold head of state of Venezuela at the end of 2026? María Corina Machado","0.03","0.99","2027-01-02T04:59:00Z","will-mara-corina-machado-be-the-leader-of-venezuela-end-of-2026","Will María Corina Machado be the leader of Venezuela end of 2026? María Corina Machado","0.001","0.9995","2027-01-01T04:59:00Z","0.009","",""
"63","0.58","check","source:check","KXGREENLAND-29-27","Will Trump buy Greenland? Before 2027","0.046","0.962","2027-01-01T15:00:00Z","will-trump-acquire-greenland-before-2027","Will Trump acquire Greenland before 2027?","0.027","0.975","2027-01-01T04:59:00Z","0.011","",""
"64","0.58","different?","deadline:material; edge_cases:check","KXTOPAI-27-JAN01-META","Will Meta have a top-ranked AI model before 2027? Meta","0.15","0.9","2027-01-01T15:00:00Z","will-meta-have-the-best-ai-model-at-the-end-of-september-2026-20260717143137054","Will Meta have the best AI model at the end of September 2026? Meta","0.002","0.999","2026-09-30T16:00:00Z","0.098","",""
"65","0.58","different?","deadline:material; edge_cases:check","KXTOPAI-27-JAN01-NVID","Will Nvidia have a top-ranked AI model before 2027? Nvidia","0.06","0.95","2027-01-01T15:00:00Z","will-nvidia-have-the-best-ai-model-at-the-end-of-september-2026-20260717143137066","Will Nvidia have the best AI model at the end of September 2026? Nvidia","0.001","0.9995","2026-09-30T16:00:00Z","0.049","",""
"66","0.58","different?","deadline:material; edge_cases:check","KXTOPAI-27-JAN01-DEPP","Will Deepseek have a top-ranked AI model before 2027? Deepseek","0.07","0.99","2027-01-01T15:00:00Z","will-deepseek-have-the-best-ai-model-at-the-end-of-september-2026-20260717143137063","Will DeepSeek have the best AI model at the end of September 2026? DeepSeek","0.001","0.9995","2026-09-30T16:00:00Z","0.009","",""
"67","0.54","check","source:check; deadline:check; interim_officeholder:check","KXVENEZDEFACTO-27JAN01-NMAD","Will Nicolás Maduro de facto hold head of state of Venezuela at the end of 2026? Nicolás Maduro","0.19","0.99","2027-01-02T04:59:00Z","will-nicols-maduro-be-the-leader-of-venezuela-end-of-2026","Will Nicolás Maduro be the leader of Venezuela end of 2026? Nicolás Maduro","0.603","0.398","2027-01-01T04:59:00Z","0.412","",""
